交易日期,北向资金
20190312,997243000
20190313,-2347137800
20190314,2332796300
20190315,2288513900
20190318,3387668400
20190319,-1598864400
20190320,-105586400
20190321,-1194948200
20190322,-1357176600
20190325,-10774438400
20190326,995575500
20190327,-497110000
20190328,-1837183400
20190329,10828000000
20190401,3173948000
20190402,-230795100
20190403,2843000000
20190404,-1208183600
20190408,-4490966500
20190409,-246000000
20190410,-3364230100
20190411,-4231226400
20190412,-442505200
20190415,-2312565900
20190416,3502389000
20190417,-1663683000
20190423,-6568000000
20190424,-3328000000
20190425,-2234000000
20190426,-1055000000
20190429,4529000000
20190430,-320000000
20190506,-6443000000
20190507,-1071996600
20190508,-5105517200
20190509,-5789000000
20190514,-10899668400
20190515,943000000
20190516,-3429000000
20190517,-5683000000
20190520,-2382800400
20190521,-3808000000
20190522,-4568000000
20190523,-4140000000
20190524,-1647000000
20190527,-1853000000
20190528,1351000000
20190529,-3458000000
20190530,-953000000
20190531,-548000000
20190603,4246000000
20190604,1038670200
20190605,3042000000
20190606,982000000
20190610,7911974800
20190611,6947591900
20190612,910000000
20190613,1285000000
20190614,-1685000000
20190617,507314400
20190618,1592154700
20190619,4923740900
20190620,5564897700
20190621,7330494600
20190624,-1911099800
20190625,-3299538100
20190626,-1211977400
20190627,3838871300
20190702,1121807700
20190703,-489524600
20190704,976795700
20190705,427713500
20190708,-3605904000
20190709,-2619802700
20190710,-1637526900
20190711,2435858100
20190712,1459270100
20190715,-1440992900
20190716,1009188700
20190717,1751051600
20190718,1844881600
20190719,6189232800
20190722,384991800
20190723,-405658700
20190724,2050193200
20190725,1948737900
20190726,-1386660600
20190729,58973800
20190730,2450959900
20190731,-499158100
20190801,-1150809400
20190802,-6811953700
20190805,-3463032000
20190806,-2978882200
20190807,-3050563600
20190808,2549255700
20190809,1394549700
20190812,2239161500
20190813,-2436135200
20190814,1183645500
20190815,137238500
20190816,-217436600
20190819,7848072300
20190820,-1261554900
20190821,1999030300
20190822,1515309500
20190823,1148662900
20190826,-3033562000
20190827,11270982400
20190828,-778418500
20190829,383580200
20190830,6719827500
20190902,5309818800
20190903,18096900
20190904,4973258000
20190905,9182325700
20190906,8523051500
20190909,2785357200
20190910,2378012900
20190911,2432023900
20190912,3295531600
20190916,909939700
20190917,-518200300
20190918,3921052300
20190919,2692379400
20190920,14862343000
20190923,-1531610400
20190924,2751709700
20190925,492822800
20190926,2498013000
20190927,318457500
20190930,-634993800
20191008,1744067200
20191009,-2216515900
20191010,135736100
20191011,3726102500
20191014,2701588200
20191015,3671253300
20191016,2736708100
20191017,1738738600
20191018,-1243698400
20191021,2915331000
20191022,294855900
20191023,-1804229300
20191024,560479500
20191025,1537515800
20191028,2840765200
20191029,2423631900
20191030,2899397500
20191031,7389324600
20191101,7450503100
20191104,4084620500
20191105,5200481700
20191106,791077700
20191107,2109599900
20191108,1368991400
20191111,669967800
20191112,-10806100
20191113,-1764346200
20191114,1210909400
20191115,1683940000
20191118,1459163200
20191119,2524372200
20191120,189879200
20191121,629133700
20191122,944723400
20191125,5636458900
20191126,21429025200
20191127,2421999600
20191128,1737946700
20191129,670998700
20191202,2710449700
20191203,3456700900
20191204,3957543400
20191205,6064639600
20191206,4361981500
20191209,3390780700
20191210,2954859700
20191211,2367866900
20191212,6521763900
20191213,5270826900
20191216,700004500
20191217,8806524800
